previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score
2,0,0,0,0,34,49,55,67,47
41,3,14,1,1,61,51,35,47,63
9,3,0,1,0,36,46,31,38,42
62,22,0,1,0,46,52,74,62,45
64,49,37,3,0,80,85,96,87,65
10,0,4,0,0,42,28,54,59,66
39,28,25,3,1,90,77,72,69,80
30,8,6,2,1,68,72,70,41,63
39,14,7,3,1,71,63,97,72,62
21,0,0,1,0,68,73,69,65,66
76,40,45,1,1,86,85,67,99,71
0,0,0,1,1,41,73,56,42,49
20,0,4,0,0,59,57,52,71,81
27,14,3,1,0,53,60,53,80,55
13,3,4,0,0,78,70,62,51,64
37,26,6,0,0,63,69,83,69,73
36,31,0,4,1,61,62,70,75,61
24,0,4,1,1,53,47,71,39,63
72,22,42,2,1,81,49,62,80,55
48,29,2,3,1,58,64,59,56,44
58,30,35,3,1,83,66,92,75,84
52,39,13,2,1,79,80,76,76,65
55,13,24,0,0,87,92,87,100,69
33,17,27,2,1,64,78,57,39,68
0,0,0,0,0,35,48,50,19,38
50,12,19,1,1,58,69,69,42,68
0,0,0,0,0,74,52,67,60,73
24,17,11,1,1,54,77,67,71,58
18,3,18,0,0,34,38,59,54,55
0,0,0,0,0,20,42,62,23,21
23,8,23,1,0,55,57,50,64,93
11,0,0,0,0,73,70,54,36,39
15,11,0,1,1,67,55,49,62,61
85,64,31,3,1,95,80,76,85,68
24,7,2,2,1,61,43,56,59,55
40,5,7,1,1,54,74,11,55,54
0,0,0,0,0,20,62,29,44,56
6,0,0,2,1,39,39,51,34,35
43,13,16,1,1,61,61,89,80,60
0,0,0,0,0,50,43,59,46,53
15,0,5,3,1,41,52,53,31,36
35,14,10,1,1,72,43,62,53,72
34,28,34,0,0,65,72,70,77,83
0,0,0,0,0,41,54,62,38,47
52,27,12,1,0,80,70,90,66,65
23,0,0,1,0,58,84,65,69,65
18,18,18,0,0,62,83,66,41,62
20,0,20,0,0,58,83,44,38,51
81,45,46,0,0,45,98,60,77,65
20,12,20,2,1,67,81,32,46,49
35,35,18,2,1,61,79,58,85,77
33,21,29,0,0,71,69,77,74,92
77,55,57,1,0,68,75,75,100,79
0,0,0,0,0,50,46,40,22,58
69,48,34,2,1,60,71,45,69,79
15,11,0,0,0,45,56,78,65,27
63,43,41,3,1,67,81,77,43,59
33,6,4,1,1,77,56,68,83,62
53,50,41,1,1,89,64,99,75,84
0,0,0,1,0,53,30,19,36,44
47,34,19,1,1,60,66,55,68,67
60,57,31,0,0,91,82,94,76,78
66,35,34,2,1,74,91,66,100,71
7,7,7,1,1,74,83,95,48,74
33,10,4,2,1,70,60,52,73,70
68,55,46,3,1,74,67,91,96,62
21,9,5,1,1,81,52,62,63,41
10,5,10,1,1,62,55,54,64,59
27,27,7,2,0,56,76,76,72,44
0,0,0,1,1,53,52,62,40,46
35,25,0,2,0,57,76,46,46,47
64,22,1,1,1,46,82,86,57,62
53,33,37,0,0,86,76,73,70,74
0,0,0,2,1,59,60,42,74,52
41,9,18,0,0,63,63,56,48,63
42,22,5,0,0,64,64,53,56,81
24,24,4,1,0,82,69,69,76,70
0,0,0,0,0,44,55,53,42,57
80,27,58,4,1,63,84,82,100,90
78,44,52,0,0,61,72,95,41,73
30,22,17,1,0,53,61,73,55,35
29,20,29,2,1,65,70,45,57,49
0,0,0,4,1,46,42,56,65,55
7,0,0,0,0,38,64,59,39,60
0,0,0,0,0,28,60,42,37,46
3,0,0,0,0,51,63,53,39,54
51,25,39,2,0,67,61,70,61,63
17,17,4,1,0,58,57,57,63,74
20,0,14,0,0,59,71,45,67,71
1,0,0,0,0,56,46,61,55,35
21,0,0,0,0,48,39,32,50,41
48,17,0,2,1,29,48,57,58,71
48,31,39,4,1,78,64,86,78,90
54,25,54,4,1,70,72,78,54,78
0,0,0,1,0,25,23,60,35,60
28,8,16,2,0,65,54,45,53,88
2,0,0,1,1,43,60,37,56,64
35,30,3,4,1,48,47,87,69,65
38,14,12,2,1,58,79,64,73,38
6,6,0,2,1,55,67,40,47,43
19,0,0,3,1,64,46,52,34,51
24,0,0,0,0,53,64,68,39,71
0,0,0,0,0,52,57,43,59,46
63,60,30,0,0,70,91,51,86,72
48,14,35,2,1,59,65,56,61,71
38,29,31,1,1,72,69,82,67,67
79,58,53,0,0,85,100,78,83,66
56,11,37,5,1,84,90,84,54,96
18,4,8,2,1,48,62,50,53,18
0,0,0,3,1,45,35,44,29,50
0,0,0,3,1,57,45,37,56,57
54,23,40,3,0,54,68,42,78,79
35,35,7,0,0,52,69,78,60,58
46,46,28,1,1,78,71,56,55,57
29,28,16,3,1,72,74,77,67,44
45,11,22,1,1,65,43,79,48,71
56,21,34,2,1,77,79,77,67,79
12,0,0,0,0,59,74,45,51,52
42,13,20,2,0,65,81,83,73,57
32,15,25,2,0,58,63,68,57,51
80,29,15,1,1,59,77,46,75,88
19,12,0,1,0,52,78,63,47,56
64,31,34,2,1,78,44,52,55,77
52,52,6,4,1,83,100,70,100,77
99,47,50,3,1,79,65,85,95,87
69,26,27,2,1,60,71,66,57,88
80,50,35,2,0,76,71,89,86,65
0,0,0,0,0,50,48,22,53,49
37,8,16,2,1,59,94,54,70,35
15,3,0,1,1,71,48,65,49,56
38,0,0,1,1,59,58,59,62,58
10,0,5,1,1,54,67,77,49,49
32,21,0,1,0,42,89,16,56,61
25,25,3,3,1,60,52,76,74,46
37,21,13,3,1,65,53,51,55,91
19,18,0,1,1,65,41,66,49,34
58,24,0,0,0,55,61,64,54,61
58,29,43,1,1,86,75,54,70,57
92,65,50,2,1,75,74,85,91,67
96,68,29,1,1,77,81,54,64,74
27,12,7,0,0,58,66,70,74,67
33,24,7,3,0,50,87,55,92,51
50,28,0,1,1,51,75,75,55,55
47,45,11,0,0,58,45,35,70,71
3,0,0,2,1,66,48,44,53,58
61,57,37,3,0,74,55,71,75,67
61,43,28,3,1,68,77,96,68,69
3,0,0,3,1,35,46,17,46,35
42,11,7,0,0,67,97,47,65,63
21,20,0,4,0,58,79,33,44,60
64,33,16,1,0,53,50,67,71,73
0,0,0,0,0,57,57,66,65,32
48,20,16,2,1,73,55,65,53,40
37,6,26,1,1,75,82,89,76,67
0,0,0,1,0,31,67,36,53,56
9,0,0,0,0,39,33,40,24,30
0,0,0,0,0,55,73,53,28,53
19,12,15,1,0,62,56,55,65,38
83,77,57,2,1,100,100,74,100,96
52,15,18,1,1,55,51,59,67,52
21,18,6,1,0,68,60,60,61,43
6,0,0,0,0,37,51,48,35,58
74,55,45,3,1,65,57,73,78,58
47,35,0,3,1,70,61,70,75,65
49,44,41,1,1,69,60,63,83,74
56,19,35,0,0,48,55,48,62,37
17,0,6,0,0,70,56,65,62,70
80,34,69,3,0,99,100,100,100,76
35,0,0,2,1,60,84,73,45,51
0,0,0,0,0,54,77,50,76,56
77,42,32,3,1,81,65,73,64,89
96,47,60,3,1,87,96,71,94,77
25,24,0,2,1,78,78,60,60,65
68,35,20,2,0,75,67,70,78,84
39,24,15,2,0,70,78,76,64,68
14,0,0,0,0,49,44,50,24,47
37,21,6,0,0,80,72,52,53,63
28,11,0,3,1,59,36,48,64,58
7,4,6,0,0,48,61,74,63,55
75,64,40,2,1,71,91,65,68,71
79,37,44,1,1,79,77,48,86,76
0,0,0,3,1,35,55,57,51,58
26,25,19,0,0,76,62,39,50,50
46,17,25,3,1,83,76,99,58,83
14,5,9,1,1,51,68,58,85,57
35,31,21,1,1,89,70,72,80,86
33,7,7,0,0,46,58,66,73,72
0,0,0,2,1,25,37,39,47,39
63,28,54,1,0,88,83,92,100,100
54,18,25,3,1,100,77,77,87,67
48,6,30,1,1,56,59,88,68,44
53,26,25,1,1,72,75,61,73,79
45,35,45,2,1,68,59,80,66,50
73,40,19,1,1,88,81,88,79,71
31,1,31,0,0,58,68,81,57,63
75,52,30,3,0,86,84,52,67,68
21,10,5,1,1,86,62,40,84,68
90,56,51,2,1,79,75,91,87,73
44,24,23,2,1,80,72,71,82,54
43,14,12,3,1,58,64,81,79,57
9,6,0,0,0,44,65,73,52,57
77,68,28,1,0,70,82,86,83,94
57,21,0,3,1,75,85,56,71,66
0,0,0,0,0,26,54,55,46,38
17,0,0,3,1,53,39,56,50,59
7,7,0,2,1,71,85,54,21,51
0,0,0,0,0,25,58,67,43,26
0,0,0,1,1,24,31,56,37,25
0,0,0,0,0,56,71,43,57,55
78,39,47,2,1,89,75,75,55,80
26,0,7,1,0,75,63,80,54,77
7,0,0,2,0,47,74,54,39,47
78,48,58,1,1,86,73,79,81,81
0,0,0,1,1,51,74,51,64,44
15,0,0,2,0,46,36,53,30,49
49,19,30,3,0,68,81,57,70,60
44,7,17,1,0,74,62,28,59,49
28,0,22,0,0,58,78,90,58,75
42,39,13,1,1,59,82,79,52,39
18,13,0,0,0,66,75,69,58,54
41,14,39,3,1,72,73,74,77,71
28,18,3,2,1,34,71,32,53,56
3,0,0,0,0,51,49,50,31,54
42,25,3,0,0,62,83,75,80,29
34,25,27,2,0,65,57,92,58,68
10,0,0,2,1,69,73,69,75,50
75,53,54,5,1,83,71,93,88,60
15,3,3,3,1,63,60,83,53,60
46,9,33,1,1,87,79,85,52,54
0,0,0,1,0,43,36,50,44,62
4,3,4,1,0,68,69,89,56,57
0,0,0,0,0,35,47,59,35,23
6,6,0,3,0,60,77,67,55,53
59,28,39,3,1,62,81,65,78,85
0,0,0,1,1,62,55,39,71,55
0,0,0,0,0,28,30,35,27,30
36,14,11,0,0,71,89,57,68,55
8,0,0,2,1,76,68,71,69,36
22,0,17,0,0,64,64,49,55,56
32,26,15,1,1,77,69,74,82,59
56,7,17,0,0,68,89,80,77,39
39,3,0,2,1,64,73,54,53,68
14,0,0,3,1,47,78,65,59,58
47,40,32,0,0,89,85,52,72,71
24,24,17,0,0,62,69,48,50,69
66,60,47,1,0,69,85,56,63,74
13,13,9,0,0,57,75,61,59,59
38,4,13,2,0,75,79,48,71,57
0,0,0,0,0,27,34,28,64,45
63,47,40,0,0,86,83,53,72,61
60,38,50,3,1,68,92,83,75,73
39,20,27,2,1,59,52,49,45,91
33,21,4,2,1,61,81,73,72,43
13,13,8,3,1,49,83,52,79,63
22,0,22,1,1,54,52,43,39,35
15,15,3,3,1,67,75,66,55,61
74,54,25,0,0,81,74,57,55,64
76,62,38,2,1,76,60,74,75,78
51,36,22,2,1,57,93,74,62,49
0,0,0,1,1,53,56,36,15,39
18,8,0,0,0,64,59,53,71,40
76,31,54,1,1,75,100,81,85,86
20,16,20,1,0,66,66,70,68,61
0,0,0,0,0,64,61,39,41,40
33,12,17,1,0,52,64,48,54,64
0,0,0,1,0,83,62,56,44,47
5,0,0,2,0,63,64,86,65,66
35,13,7,0,0,78,73,69,69,45
0,0,0,0,0,33,62,28,34,48
110,74,84,1,1,97,86,91,100,71
34,5,6,0,0,40,47,51,43,45
35,9,5,1,0,35,60,44,50,55
25,3,8,1,1,65,83,69,52,53
0,0,0,2,1,52,45,68,39,49
11,0,0,0,0,35,58,34,44,68
66,33,30,1,0,79,92,53,58,36
38,19,15,2,1,72,84,58,27,71
35,35,21,2,1,69,65,82,73,60
79,25,47,1,1,70,71,83,73,68
14,4,0,2,1,47,42,53,47,49
8,0,0,0,0,55,46,31,43,30
0,0,0,1,0,56,37,58,72,43
88,68,66,1,1,86,89,80,100,71
0,0,0,2,0,67,83,75,67,53
35,29,35,3,1,73,85,50,72,60
0,0,0,0,0,68,52,72,58,73
38,10,0,0,0,63,86,64,67,58
0,0,0,4,1,50,75,38,40,55
34,15,34,1,1,96,64,48,87,57
37,2,15,1,1,61,64,41,65,58
55,45,9,2,1,49,62,64,76,73
0,0,0,4,1,64,46,59,63,46
40,4,12,2,0,74,86,79,95,62
78,44,45,3,1,93,62,55,78,73
11,0,11,1,1,59,47,61,49,55
21,0,21,3,1,70,65,49,73,52
53,35,7,3,0,65,69,74,66,55
44,44,29,4,0,80,57,90,93,88
49,17,8,3,1,57,55,64,55,69
31,13,8,1,0,70,83,38,86,55
20,0,0,2,1,51,53,68,63,46
35,35,15,3,1,60,38,71,53,52
36,0,18,1,0,26,30,48,57,50
0,0,0,0,0,38,48,37,29,46
6,0,3,3,0,64,55,61,41,68
24,14,12,1,1,74,80,84,71,58
42,18,0,1,1,54,60,81,29,43
4,0,0,1,0,54,66,47,58,42
40,31,36,2,0,56,80,80,68,76
0,0,0,1,1,41,44,39,40,38
30,0,0,2,1,64,49,57,59,34
0,0,0,0,0,26,58,70,68,50
37,26,23,0,0,61,65,62,48,65
24,14,21,1,1,73,69,72,80,61
40,5,37,1,1,41,61,43,81,48
8,6,0,1,1,76,82,52,43,53
56,42,40,3,0,92,68,69,79,86
15,15,15,2,1,90,88,75,89,100
42,17,19,0,0,80,100,58,54,66
0,0,0,2,1,41,36,69,62,36
13,0,7,3,0,61,54,85,45,77
44,19,15,1,1,43,46,71,64,56
30,7,27,2,1,66,79,62,58,64
73,36,22,2,1,85,86,71,92,84
25,25,19,4,1,58,60,56,26,54
35,31,10,1,0,80,76,66,80,69
45,45,19,4,1,77,59,58,66,66
12,0,0,0,0,41,63,51,39,54
32,10,17,1,1,74,89,70,54,73
26,0,11,1,1,41,49,59,66,45
46,26,3,3,1,57,65,38,49,56
42,35,22,2,1,70,66,64,59,72
62,39,33,0,0,67,76,70,76,62
41,19,21,1,1,36,59,80,55,68
10,0,0,1,0,69,76,24,73,76
54,23,35,2,0,77,63,64,59,64
28,17,13,4,0,50,72,54,70,46
67,50,25,2,1,87,89,56,73,67
37,24,35,4,0,71,70,85,25,70
33,18,3,1,1,57,72,57,50,57
35,20,19,2,1,37,53,53,33,45
0,0,0,0,0,37,47,58,38,40
24,0,18,1,0,55,75,44,59,48
34,0,25,3,1,58,61,50,43,66
0,0,0,1,1,26,54,51,15,42
43,31,28,1,1,69,90,61,59,94
24,14,2,1,1,51,68,51,44,37
68,23,25,5,1,70,76,54,77,84
99,68,60,4,1,90,64,69,86,57
48,32,21,3,1,68,71,81,60,83
0,0,0,1,0,28,47,35,45,42
1,0,0,1,1,43,57,52,56,56
44,28,10,1,1,52,68,61,72,41
42,20,30,5,1,72,81,62,65,77
21,0,21,1,1,56,67,61,52,36
52,27,43,1,1,79,79,92,78,83
69,41,39,2,0,71,48,86,68,86
38,0,13,2,0,39,59,54,53,53
51,21,27,0,0,76,77,71,72,61
27,6,7,1,0,55,54,54,68,55
44,17,7,4,1,64,82,84,53,51
0,0,0,1,1,43,58,71,67,80
50,28,13,2,0,53,55,29,36,63
9,0,1,1,1,74,71,69,58,80
41,23,28,1,0,63,75,81,51,73
27,2,0,0,0,48,43,46,57,37
76,32,52,2,1,75,82,59,75,80
4,4,0,2,0,60,30,58,54,58
22,0,0,0,0,48,43,29,50,47
44,30,39,1,1,63,59,41,72,73
28,28,28,0,0,81,79,93,99,72
45,28,2,1,0,91,86,61,80,68
0,0,0,0,0,37,72,60,43,39
0,0,0,2,1,56,32,34,45,32
53,41,13,0,0,83,77,65,85,65
33,30,5,4,0,45,61,82,59,49
26,12,19,2,1,71,58,68,62,67
44,0,24,0,0,60,56,78,89,30
26,26,0,1,0,72,70,54,63,68
10,0,0,2,1,67,66,55,57,52
0,0,0,0,0,45,49,45,47,28
12,6,0,2,1,71,58,46,64,58
33,0,12,1,1,59,60,57,72,52
58,35,26,1,0,84,91,90,82,69
3,0,3,1,0,58,50,78,57,53
25,0,0,1,1,45,56,68,55,50
48,28,14,0,0,80,62,56,62,53
3,2,3,5,1,63,76,59,92,63
4,4,0,1,0,41,55,30,31,59
111,79,86,0,0,100,73,92,99,91
14,14,6,1,0,52,62,62,78,70
16,9,5,2,1,68,57,45,74,61
7,0,7,3,1,62,58,47,42,27
27,5,3,2,1,41,45,48,56,54
41,17,18,2,1,46,59,75,53,57
0,0,0,1,0,72,43,47,46,60
0,0,0,0,0,45,52,45,45,30
25,6,0,0,0,66,54,62,53,75
39,22,0,0,0,61,71,75,72,62
84,44,20,3,1,58,72,62,77,64
12,0,0,2,0,50,37,56,47,56
15,0,0,0,0,42,55,56,33,54
80,56,39,2,1,93,100,85,92,84
6,0,6,3,1,61,70,50,64,56
41,12,15,0,0,60,70,72,78,57
0,0,0,0,0,27,47,30,28,46
45,12,21,1,0,73,60,47,68,72
0,0,0,2,1,36,26,35,63,39
0,0,0,3,1,52,28,53,73,52
0,0,0,0,0,66,39,53,44,22
44,13,18,0,0,55,49,54,49,61
27,5,27,3,0,62,64,58,83,78
64,31,20,2,0,73,64,51,94,51
72,41,50,1,1,80,81,91,59,78
15,0,4,2,0,67,59,58,49,77
58,36,46,0,0,82,86,76,100,73
50,11,39,0,0,58,61,72,47,48
46,37,22,2,1,56,86,41,76,55
52,48,28,2,1,77,67,74,71,57
5,0,0,0,0,40,31,61,55,43
19,12,0,2,1,53,65,60,41,59
17,14,7,0,0,57,51,63,64,41
8,0,3,1,0,45,43,37,58,39
23,12,0,0,0,27,26,43,44,49
21,21,21,1,0,46,57,73,52,77
0,0,0,0,0,69,59,75,36,61
35,22,13,0,0,71,81,54,73,48
13,0,10,2,0,70,59,29,37,84
45,18,7,1,0,57,43,34,54,70
19,0,2,4,1,62,89,71,31,57
35,0,2,0,0,58,59,57,48,64
52,28,52,1,0,52,64,79,65,70
26,0,0,2,1,61,45,57,42,50
22,16,0,2,1,65,50,71,57,42
27,6,15,1,1,65,84,56,61,80
57,11,9,3,0,52,41,40,41,68
84,45,51,0,0,80,84,74,91,69
53,36,45,1,1,70,67,58,55,69
99,37,54,2,0,60,78,92,69,70
25,4,0,3,0,66,79,62,75,66
21,0,0,2,1,59,84,57,77,77
39,31,6,4,1,84,90,65,77,77
0,0,0,2,0,52,41,67,45,52
57,27,28,4,0,65,83,67,70,82
11,11,11,2,0,70,39,58,52,67
25,0,25,2,1,87,65,52,44,49
10,10,10,0,0,63,53,38,76,57
5,5,5,1,1,70,58,56,83,51
53,8,5,2,1,53,80,70,50,59
93,55,55,4,1,99,68,78,99,75
0,0,0,1,1,63,51,52,57,73
24,0,1,0,0,46,48,56,66,42
4,0,0,0,0,47,29,54,50,60
0,0,0,0,0,42,50,63,50,54
17,6,0,0,0,46,51,44,35,58
11,3,11,2,0,73,34,58,76,81
17,0,0,0,0,65,69,84,80,58
75,50,64,4,1,90,92,86,77,79
0,0,0,0,0,57,52,62,72,38
17,4,0,0,0,65,51,42,62,69
48,5,18,3,1,66,62,63,46,65
29,0,6,1,0,47,67,63,57,77
35,0,5,0,0,60,58,54,70,52
35,0,16,0,0,45,66,44,52,39
73,73,40,1,1,83,90,85,70,65
11,8,0,1,0,57,43,49,57,53
12,0,0,1,1,50,49,71,48,66
50,20,26,1,0,52,49,57,66,73
24,24,6,2,0,85,92,91,59,77
56,42,34,1,0,65,76,96,68,72
0,0,0,1,0,52,76,61,51,49
25,15,12,0,0,61,74,81,56,70
54,49,31,3,0,75,71,100,85,52
22,0,4,2,1,54,66,37,47,36
22,0,21,0,0,69,71,70,33,69
83,65,54,3,0,100,95,95,83,77
27,1,19,0,0,44,69,34,57,61
26,6,2,1,1,50,67,53,69,49
0,0,0,0,0,32,33,63,16,20
6,0,0,1,1,62,54,64,44,45
85,63,45,3,1,83,78,75,65,94
55,52,42,3,1,97,77,80,100,82
0,0,0,2,1,57,65,52,44,34
52,44,45,2,1,86,77,64,86,63
30,19,0,2,0,75,69,57,73,60
45,24,0,1,1,55,63,76,55,88
14,13,0,0,0,47,48,62,66,44
55,42,18,1,1,85,83,85,99,80
41,41,20,1,1,70,68,73,79,79
35,26,24,5,1,68,56,40,63,83
28,28,28,1,1,61,66,34,68,65
20,20,18,1,1,77,61,88,94,69
30,11,25,0,0,71,70,74,81,57
28,17,12,0,0,48,56,39,50,62
48,17,23,2,1,63,59,90,58,74
94,58,48,0,0,89,100,64,100,78
0,0,0,1,1,45,59,55,44,55
0,0,0,1,0,71,79,70,46,71
41,26,41,3,1,72,79,30,81,67
49,30,23,0,0,62,79,57,60,66
25,0,10,4,1,41,40,65,51,55
17,7,2,4,1,41,78,66,69,54
41,20,1,1,0,63,78,64,72,57
42,11,0,1,1,30,40,50,47,53
22,0,11,0,0,55,55,37,42,69
43,27,26,2,1,57,60,52,49,57
47,32,15,1,1,56,58,62,70,52
0,0,0,1,0,37,60,72,44,44
0,0,0,1,0,50,58,34,39,44
59,34,22,1,1,68,49,45,68,53
11,0,0,1,1,38,46,33,42,58
18,0,0,0,0,48,73,68,28,53
0,0,0,1,0,46,72,51,37,43
59,15,24,0,0,72,56,86,53,68
32,0,14,2,0,66,86,59,90,46
8,0,8,1,1,50,39,29,40,47
29,29,20,1,0,66,66,82,85,58
73,41,43,0,0,85,81,43,89,82
28,9,23,1,1,78,79,79,78,85
30,13,18,2,1,56,68,54,67,80
94,67,48,0,0,71,67,87,70,63
42,20,25,2,1,54,63,48,72,63
8,0,3,3,1,40,66,55,42,61
65,40,30,1,1,73,85,81,69,62
31,22,31,0,0,57,71,70,84,57
0,0,0,1,1,48,79,50,59,54
14,12,0,0,0,72,58,70,68,75
64,33,25,1,1,71,73,75,59,76
39,26,39,3,1,54,80,49,66,50
0,0,0,1,1,43,60,42,58,54
39,12,0,0,0,67,71,61,72,31
10,0,5,0,0,45,58,56,44,34
46,21,6,1,1,74,74,70,97,68
34,23,15,0,0,69,83,84,47,64
68,44,49,0,0,75,65,97,69,81
65,38,38,3,0,88,72,100,100,65
28,1,5,4,0,49,54,30,53,64
67,38,49,1,1,82,79,63,64,77
20,20,5,2,1,36,81,76,33,62
50,21,17,2,0,68,63,45,67,31
17,1,0,0,0,66,42,48,81,47
67,24,53,3,1,74,97,62,88,80
24,13,0,1,1,65,60,65,58,66
0,0,0,2,0,37,35,83,69,45
61,41,22,5,1,77,83,91,93,65
5,0,0,0,0,51,56,44,62,51
4,0,0,1,1,52,51,70,34,56
42,20,35,2,0,78,80,66,86,88
53,35,23,2,1,77,78,70,70,67
78,40,31,2,1,99,76,66,98,42
88,70,67,3,0,69,74,59,77,85
40,17,35,1,1,62,60,47,54,65
55,34,28,1,1,66,67,34,56,33
8,0,0,3,1,49,60,46,62,41
84,45,55,1,1,97,67,77,74,76
0,0,0,1,1,41,43,45,25,58
12,0,0,0,0,58,35,45,42,50
33,5,33,1,0,61,63,64,60,70
61,31,22,0,0,77,85,75,85,74
88,50,34,5,1,76,70,90,79,62
23,2,0,0,0,51,70,45,70,28
9,0,0,1,1,83,73,74,51,43
50,14,34,1,1,60,53,52,63,84
30,1,14,1,0,61,67,56,51,84
0,0,0,1,1,76,68,76,71,76
0,0,0,3,1,54,65,55,42,63
61,43,25,0,0,71,68,47,52,55
54,2,13,1,1,57,70,75,61,50
21,21,1,4,1,69,63,33,63,65
66,23,24,1,0,44,61,55,85,68
0,0,0,2,1,30,45,61,55,38
57,13,20,1,0,56,69,89,54,64
7,0,0,1,0,49,48,52,68,52
34,0,34,1,1,43,58,79,42,52
0,0,0,0,0,43,46,37,52,65
0,0,0,4,1,56,60,49,51,54
82,54,53,2,1,73,72,78,86,52
15,0,10,0,0,54,53,56,55,69
0,0,0,1,1,44,42,60,37,61
46,0,0,0,0,49,59,61,64,53
55,21,43,1,1,82,53,70,70,55
73,64,36,1,1,70,77,85,61,83
0,0,0,1,0,84,51,46,64,69
12,0,0,0,0,35,35,57,41,51
42,0,18,2,1,43,48,58,48,78
31,0,29,1,1,78,58,57,63,60
24,24,15,2,1,82,79,67,72,71
45,45,40,1,1,84,88,73,82,63
46,46,38,3,1,96,85,91,71,63
17,0,0,0,0,50,69,50,48,39
0,0,0,0,0,31,47,69,44,33
11,0,11,1,1,43,56,40,34,55
0,0,0,0,0,33,42,40,46,56
78,48,75,1,0,92,90,58,80,79
7,0,0,1,0,63,61,67,55,63
55,18,35,1,0,73,71,65,81,68
52,36,19,0,0,80,80,88,62,90
0,0,0,1,0,34,40,31,30,35
0,0,0,0,0,58,53,52,32,18
50,48,25,0,0,70,94,69,85,57
0,0,0,4,1,53,54,32,78,18
1,0,0,1,1,39,36,28,51,24
0,0,0,0,0,51,34,57,58,35
16,3,0,3,0,55,88,58,55,72
3,0,0,2,1,43,51,61,41,46
15,15,9,2,1,73,87,82,83,61
0,0,0,2,1,38,55,47,40,48
5,0,0,0,0,51,70,36,30,41
70,23,22,0,0,54,68,75,50,52
67,37,15,2,1,83,80,58,65,58
25,13,0,2,1,57,85,56,70,52
