agent_id,previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score,competency_level
AGT00091,47,47,26,2,1,68,95,74,71,72,Competent
AGT00092,39,16,0,2,1,81,65,66,62,57,Advanced
AGT00093,24,0,1,1,0,52,40,53,51,50,Competent
AGT00094,43,3,9,2,0,52,68,64,62,67,Basic
AGT00095,0,0,0,0,0,39,63,33,45,41,Basic
AGT00096,15,0,5,3,1,41,52,53,31,36,Basic
AGT00097,19,1,7,1,0,38,41,34,59,45,Competent
AGT00098,0,0,0,1,0,72,43,47,46,60,Basic
AGT00099,5,5,5,1,1,70,58,56,83,51,Needs Improvement
AGT00100,40,5,7,1,1,54,74,11,55,54,Competent
AGT00101,27,14,3,1,0,53,60,53,80,55,Basic
AGT00102,25,25,13,2,1,74,58,61,88,63,Competent
AGT00103,10,0,0,2,1,67,66,55,57,52,Competent
AGT00104,59,54,50,0,0,57,74,68,63,52,Basic
AGT00105,6,0,0,1,1,40,50,76,40,52,Basic
AGT00106,17,14,7,0,0,57,51,63,64,41,Competent
AGT00107,36,0,2,4,1,62,43,57,50,64,Competent
AGT00108,4,4,4,3,1,54,75,64,48,55,Basic
AGT00109,32,32,32,1,0,77,76,80,80,63,Advanced
AGT00110,0,0,0,1,1,40,53,51,41,57,Needs Improvement
AGT00111,46,30,18,1,0,79,72,69,76,52,Competent
AGT00112,44,28,16,2,0,51,71,72,52,54,Competent
AGT00113,35,1,10,1,0,61,53,24,64,33,Basic
AGT00114,5,0,0,1,1,41,48,75,50,62,Needs Improvement
AGT00115,40,8,21,1,1,71,80,82,74,84,Advanced
AGT00116,15,0,15,0,0,48,77,59,64,36,Basic
AGT00117,36,31,0,0,0,65,53,45,63,51,Competent
AGT00118,32,25,0,5,1,61,63,77,59,60,Competent
AGT00119,66,35,34,2,1,74,91,66,100,71,Advanced
AGT00120,39,5,7,3,1,47,85,66,53,57,Competent
AGT00121,20,0,20,1,1,43,76,35,57,50,Needs Improvement
AGT00122,34,25,27,2,0,65,57,92,58,68,Advanced
AGT00123,20,0,20,0,0,58,83,44,38,51,Basic
AGT00124,58,42,31,1,1,77,79,74,62,77,Advanced
AGT00125,46,37,22,2,1,56,86,41,76,55,Competent
AGT00126,41,20,1,1,0,63,78,64,72,57,Needs Improvement
AGT00127,99,68,60,4,1,90,64,69,86,57,Competent
AGT00128,0,0,0,1,0,53,60,65,60,43,Needs Improvement
AGT00129,25,2,19,2,1,53,71,50,57,48,Competent
AGT00130,31,0,1,1,1,52,55,67,39,62,Competent
AGT00131,24,18,4,1,0,49,58,44,63,55,Basic
AGT00132,45,0,7,2,0,59,32,45,46,49,Needs Improvement
AGT00133,36,26,30,4,1,89,80,63,61,67,Competent
AGT00134,31,10,0,1,1,61,65,65,63,31,Competent
AGT00135,0,0,0,0,0,66,39,53,44,22,Needs Improvement
AGT00136,3,0,0,2,1,43,51,61,41,46,Competent
AGT00137,41,37,6,0,0,55,70,67,63,66,Advanced
AGT00138,62,37,6,1,0,67,67,77,88,64,Advanced
AGT00139,76,40,45,1,1,86,85,67,99,71,Advanced
AGT00140,111,79,86,0,0,100,73,92,99,91,Advanced
AGT00141,37,18,37,2,1,65,85,86,65,63,Competent
AGT00142,4,4,0,1,0,41,55,30,31,59,Basic
AGT00143,36,0,18,1,0,26,30,48,57,50,Needs Improvement
AGT00144,42,16,18,3,1,76,38,72,75,57,Basic
AGT00145,1,1,1,2,0,60,69,73,59,51,Basic
AGT00146,9,0,0,2,1,52,68,67,27,59,Needs Improvement
AGT00147,1,0,0,1,1,37,61,57,52,59,Competent
AGT00148,44,41,7,1,1,50,74,65,60,78,Basic
AGT00149,45,28,2,1,0,91,86,61,80,68,Advanced
AGT00150,35,0,30,2,0,70,69,57,54,77,Advanced
AGT00151,26,5,1,4,1,61,60,42,54,44,Competent
AGT00152,22,16,0,2,1,65,50,71,57,42,Competent
AGT00153,0,0,0,0,0,58,53,52,32,18,Basic
AGT00154,1,0,0,0,0,55,77,45,46,56,Needs Improvement
AGT00155,33,5,33,1,0,61,63,64,60,70,Competent
AGT00156,76,43,70,2,1,80,100,92,97,51,Advanced
AGT00157,39,22,0,0,0,61,71,75,72,62,Needs Improvement
AGT00158,35,35,18,2,1,61,79,58,85,77,Advanced
AGT00159,32,21,0,1,0,42,89,16,56,61,Basic
AGT00160,0,0,0,1,0,31,73,55,64,34,Basic
AGT00161,1,0,0,0,0,59,75,41,27,60,Basic
AGT00162,0,0,0,2,1,39,48,63,75,53,Basic
AGT00163,96,68,57,4,1,100,100,93,100,91,Advanced
AGT00164,25,0,0,1,1,45,56,68,55,50,Needs Improvement
AGT00165,58,30,49,3,1,89,71,91,80,76,Advanced
AGT00166,34,9,11,0,0,47,30,69,50,65,Basic
AGT00167,99,37,54,2,0,60,78,92,69,70,Competent
AGT00168,7,0,0,0,0,79,56,82,55,66,Basic
AGT00169,14,3,3,2,1,73,68,79,56,73,Basic
AGT00170,18,13,18,0,0,53,51,60,66,59,Basic
AGT00171,2,2,2,1,1,51,80,38,57,40,Basic
AGT00172,20,20,0,1,1,60,76,97,89,71,Basic
AGT00173,16,3,0,3,0,55,88,58,55,72,Competent
AGT00174,0,0,0,1,0,47,40,66,28,63,Basic
AGT00175,10,0,10,0,0,42,71,42,65,57,Basic
AGT00176,34,10,17,2,1,48,45,75,46,34,Basic
AGT00177,70,50,32,3,1,77,83,43,73,69,Advanced
AGT00178,42,23,18,1,0,70,59,57,66,55,Basic
AGT00179,38,0,0,1,1,59,58,59,62,58,Advanced
AGT00180,29,6,1,1,0,63,62,70,44,82,Competent
AGT00181,94,67,48,0,0,71,67,87,70,63,Advanced
AGT00182,39,20,27,2,1,59,52,49,45,91,Advanced
AGT00183,0,0,0,0,0,69,56,66,61,51,Basic
AGT00184,34,34,18,1,1,66,77,87,87,62,Competent
AGT00185,7,7,7,1,1,74,83,95,48,74,Basic
AGT00186,61,46,20,2,1,82,84,84,91,86,Advanced
AGT00187,31,20,16,2,0,67,81,57,73,70,Basic
AGT00188,0,0,0,0,0,39,35,33,38,39,Needs Improvement
AGT00189,39,0,23,0,0,41,46,72,21,55,Basic
AGT00190,73,73,40,1,1,83,90,85,70,65,Advanced
AGT00191,78,62,43,2,1,80,86,76,76,69,Competent
AGT00192,10,10,10,0,0,63,53,38,76,57,Competent
AGT00193,4,4,0,2,1,61,72,45,53,46,Needs Improvement
AGT00194,60,28,33,3,1,100,73,82,64,88,Competent
AGT00195,11,9,0,1,1,50,45,56,50,42,Needs Improvement
AGT00196,0,0,0,0,0,33,62,28,34,48,Basic
AGT00197,40,27,31,1,1,81,72,75,74,57,Competent
AGT00198,22,0,11,0,0,55,55,37,42,69,Basic
AGT00199,26,0,1,4,1,80,58,79,48,51,Competent
AGT00200,12,7,5,0,0,73,51,62,62,72,Basic
AGT00201,27,5,27,3,0,62,64,58,83,78,Competent
AGT00202,55,13,24,0,0,87,92,87,100,69,Competent
AGT00203,33,21,15,1,0,58,69,66,49,62,Competent
AGT00204,54,54,24,0,0,70,83,84,64,62,Competent
AGT00205,8,0,0,1,0,41,51,44,44,47,Needs Improvement
AGT00206,24,7,0,1,0,71,57,62,72,56,Needs Improvement
AGT00207,5,0,5,0,0,59,37,50,24,47,Needs Improvement
AGT00208,14,4,0,2,1,47,42,53,47,49,Basic
AGT00209,23,14,13,1,1,73,48,75,45,33,Competent
AGT00210,16,0,0,0,0,54,53,51,32,55,Needs Improvement
AGT00211,63,36,25,1,1,59,86,78,55,78,Competent
AGT00212,21,0,11,0,0,32,63,38,38,50,Needs Improvement
AGT00213,54,30,33,1,0,76,92,34,63,74,Competent
AGT00214,52,15,18,1,1,55,51,59,67,52,Competent
AGT00215,8,0,8,0,0,59,81,63,59,51,Needs Improvement
AGT00216,50,48,25,0,0,70,94,69,85,57,Advanced
AGT00217,41,37,20,2,1,65,68,46,68,61,Competent
AGT00218,55,42,25,2,1,72,84,77,68,97,Advanced
AGT00219,15,15,15,0,0,64,78,63,56,62,Competent
AGT00220,0,0,0,0,0,52,57,43,59,46,Needs Improvement
AGT00221,27,27,26,0,0,63,61,41,71,48,Competent
AGT00222,21,18,6,1,0,68,60,60,61,43,Basic
AGT00223,35,35,15,3,1,60,38,71,53,52,Competent
AGT00224,0,0,0,3,1,35,55,57,51,58,Needs Improvement
AGT00225,12,0,6,0,0,49,57,50,65,55,Basic
AGT00226,39,24,13,1,1,92,54,65,78,51,Competent
AGT00227,83,65,54,3,0,100,95,95,83,77,Advanced
AGT00228,78,75,57,2,1,98,66,63,78,89,Advanced
AGT00229,52,5,4,2,0,45,66,54,59,51,Basic
AGT00230,29,20,7,1,1,58,68,76,53,50,Competent
AGT00231,9,3,0,1,0,36,46,31,38,42,Basic
AGT00232,0,0,0,1,1,43,58,71,67,80,Basic
AGT00233,13,0,7,3,0,61,54,85,45,77,Competent
AGT00234,83,64,64,3,1,90,86,69,100,94,Advanced
AGT00235,0,0,0,0,0,60,60,50,43,31,Basic
AGT00236,0,0,0,0,0,45,62,69,62,51,Needs Improvement
AGT00237,0,0,0,0,0,31,50,39,35,32,Needs Improvement
AGT00238,25,12,0,1,1,67,56,29,61,64,Basic
AGT00239,0,0,0,1,0,43,36,50,44,62,Basic
AGT00240,14,8,0,0,0,56,71,62,64,58,Basic
AGT00241,35,6,19,1,0,54,64,63,46,43,Basic
AGT00242,14,0,4,3,1,64,58,49,50,51,Competent
AGT00243,0,0,0,0,0,41,52,42,62,51,Competent
AGT00244,18,0,8,0,0,37,65,60,44,55,Basic
AGT00245,81,58,69,4,1,85,100,79,78,87,Advanced
AGT00246,0,0,0,1,0,35,45,30,27,49,Basic
AGT00247,0,0,0,1,1,34,36,67,69,50,Basic
AGT00248,53,47,31,1,1,85,68,75,75,82,Advanced
AGT00249,87,58,81,3,1,100,90,100,100,100,Advanced
AGT00250,28,18,3,2,1,34,71,32,53,56,Competent
AGT00251,4,0,0,3,0,60,53,56,56,56,Needs Improvement
AGT00252,35,13,25,3,1,74,61,71,65,64,Advanced
AGT00253,77,55,57,1,0,68,75,75,100,79,Advanced
AGT00254,0,0,0,1,0,47,49,37,22,41,Needs Improvement
AGT00255,44,7,17,1,0,74,62,28,59,49,Needs Improvement
AGT00256,24,24,24,0,0,77,57,88,65,75,Basic
AGT00257,45,2,7,2,0,51,82,68,60,55,Basic
AGT00258,27,21,7,5,1,63,60,73,59,66,Basic
AGT00259,47,37,3,2,0,54,93,72,58,57,Competent
AGT00260,12,0,0,2,0,50,37,56,47,56,Basic
AGT00261,0,0,0,1,1,53,82,55,55,64,Basic
AGT00262,11,11,8,5,1,58,79,65,41,68,Competent
AGT00263,37,12,12,1,1,60,62,82,66,57,Basic
AGT00264,15,11,0,1,0,55,55,57,62,59,Basic
AGT00265,48,17,23,2,1,63,59,90,58,74,Competent
AGT00266,64,31,20,2,0,73,64,51,94,51,Basic
AGT00267,44,10,23,1,1,53,67,42,77,83,Basic
AGT00268,33,21,29,0,0,71,69,77,74,92,Basic
AGT00269,0,0,0,0,0,64,46,51,69,71,Basic
AGT00270,22,7,6,3,0,47,93,88,59,69,Competent
AGT00271,23,0,7,3,0,62,55,72,64,60,Competent
AGT00272,17,0,0,0,0,65,69,84,80,58,Basic
AGT00273,39,20,20,0,0,62,57,72,69,59,Competent
AGT00274,88,80,88,2,1,96,83,68,82,98,Advanced
AGT00275,64,47,37,3,1,85,76,54,79,65,Competent
AGT00276,0,0,0,0,0,78,69,84,69,50,Basic
AGT00277,0,0,0,1,0,49,57,35,60,47,Basic
AGT00278,42,4,26,1,1,57,64,72,46,59,Basic
AGT00279,44,26,39,1,0,79,80,80,66,63,Advanced
AGT00280,0,0,0,1,0,70,76,62,80,59,Basic
AGT00281,62,48,35,3,1,72,70,71,56,66,Advanced
AGT00282,0,0,0,1,0,50,50,51,29,31,Basic
AGT00283,68,47,42,3,1,81,71,67,57,42,Advanced
AGT00284,44,17,7,4,1,64,82,84,53,51,Competent
AGT00285,16,0,0,1,1,42,58,69,62,52,Competent
AGT00286,27,27,0,0,0,55,58,59,72,61,Basic
AGT00287,48,14,35,2,1,59,65,56,61,71,Advanced
AGT00288,72,23,16,3,1,53,64,78,67,68,Competent
AGT00289,42,13,14,1,0,39,62,32,57,50,Needs Improvement
AGT00290,0,0,0,0,0,47,63,66,43,48,Basic
AGT00291,33,6,4,1,1,77,56,68,83,62,Advanced
AGT00292,54,5,40,0,0,58,76,52,77,62,Competent
AGT00293,81,38,45,3,1,98,90,87,82,88,Advanced
AGT00294,0,0,0,1,1,32,61,38,22,40,Basic
AGT00295,46,18,2,2,0,58,55,52,55,72,Basic
AGT00296,50,28,0,1,1,51,75,75,55,55,Competent
AGT00297,82,34,19,2,0,66,45,50,66,76,Competent
AGT00298,9,0,1,1,1,74,71,69,58,80,Advanced
AGT00299,0,0,0,1,0,53,30,19,36,44,Needs Improvement
AGT00300,31,14,8,3,1,69,56,68,46,69,Competent
AGT00301,56,35,56,0,0,74,86,77,100,69,Advanced
AGT00302,0,0,0,0,0,33,42,40,46,56,Needs Improvement
AGT00303,0,0,0,1,1,66,65,74,72,80,Needs Improvement
AGT00304,16,0,0,2,1,69,56,57,50,50,Basic
AGT00305,35,14,25,1,0,76,73,74,40,68,Competent
AGT00306,0,0,0,0,0,50,43,59,46,53,Needs Improvement
AGT00307,58,24,0,0,0,55,61,64,54,61,Needs Improvement
AGT00308,56,56,29,4,1,93,73,76,86,83,Advanced
AGT00309,65,37,45,2,1,61,81,60,79,75,Competent
AGT00310,69,18,24,0,0,85,92,73,87,75,Advanced
AGT00311,68,44,43,0,0,81,55,75,87,84,Advanced
AGT00312,44,23,35,3,0,60,82,63,87,80,Competent
AGT00313,90,56,51,2,1,79,75,91,87,73,Advanced
AGT00314,40,24,26,1,0,61,72,66,78,66,Basic
AGT00315,55,31,49,2,1,86,62,73,76,50,Competent
AGT00316,31,9,31,1,1,75,66,40,33,66,Competent
AGT00317,26,19,10,1,0,64,96,74,59,75,Basic
AGT00318,23,0,0,1,1,51,60,47,41,50,Competent
AGT00319,90,36,32,3,1,69,69,56,75,73,Competent
AGT00320,2,2,2,0,0,47,50,72,37,46,Needs Improvement
AGT00321,53,21,11,1,0,67,55,77,76,63,Competent
AGT00322,49,20,14,3,1,59,80,72,70,61,Competent
AGT00323,74,25,40,1,0,81,80,77,87,64,Competent
AGT00324,45,28,18,1,0,68,60,67,88,65,Competent
AGT00325,24,17,24,0,0,84,71,74,58,67,Competent
AGT00326,54,25,54,4,1,70,72,78,54,78,Advanced
AGT00327,0,0,0,2,0,39,60,62,77,48,Competent
AGT00328,55,28,15,1,1,57,51,60,73,55,Needs Improvement
AGT00329,10,0,5,1,1,54,67,77,49,49,Basic
AGT00330,38,0,13,2,0,39,59,54,53,53,Basic
AGT00331,44,44,44,0,0,96,69,56,78,91,Advanced
AGT00332,15,0,13,1,0,72,66,44,41,61,Basic
AGT00333,21,20,0,4,0,58,79,33,44,60,Basic
AGT00334,9,6,0,1,1,55,38,46,47,41,Needs Improvement
AGT00335,22,16,0,1,1,56,57,58,52,69,Basic
AGT00336,7,0,0,0,0,38,64,59,39,60,Needs Improvement
AGT00337,66,23,24,1,0,44,61,55,85,68,Competent
AGT00338,51,19,6,2,0,64,59,75,60,80,Basic
AGT00339,72,42,53,3,1,83,88,72,78,78,Advanced
AGT00340,57,27,28,4,0,65,83,67,70,82,Advanced
AGT00341,11,0,0,1,1,38,46,33,42,58,Needs Improvement
AGT00342,33,30,5,4,0,45,61,82,59,49,Competent
AGT00343,0,0,0,2,1,59,60,42,74,52,Needs Improvement
AGT00344,35,13,7,0,0,78,73,69,69,45,Advanced
AGT00345,77,42,32,3,1,81,65,73,64,89,Advanced
AGT00346,0,0,0,0,0,28,60,53,36,22,Needs Improvement
AGT00347,15,0,5,0,0,48,79,55,50,33,Needs Improvement
AGT00348,29,0,14,2,0,42,68,66,61,53,Basic
AGT00349,25,0,3,0,0,32,53,43,48,24,Needs Improvement
AGT00350,73,52,41,0,0,91,94,92,87,80,Advanced
AGT00351,49,22,27,0,0,62,92,64,71,52,Advanced
AGT00352,58,19,20,2,1,69,92,94,73,48,Advanced
AGT00353,18,3,18,0,0,34,38,59,54,55,Basic
AGT00354,50,12,19,1,1,58,69,69,42,68,Competent
AGT00355,30,11,30,2,1,87,82,69,79,49,Basic
AGT00356,0,0,0,5,0,71,61,70,66,53,Basic
AGT00357,37,28,26,1,0,53,89,55,52,63,Competent
AGT00358,41,16,27,5,1,60,87,65,66,60,Basic
AGT00359,34,0,19,1,1,51,47,53,57,49,Basic
AGT00360,55,45,9,2,1,49,62,64,76,73,Competent
AGT00361,55,26,32,0,0,42,54,64,66,87,Competent
AGT00362,20,16,20,1,0,66,66,70,68,61,Competent
AGT00363,44,24,23,2,1,80,72,71,82,54,Basic
AGT00364,17,0,0,2,1,54,66,72,44,47,Competent
AGT00365,73,3,20,1,1,68,53,65,62,62,Basic
AGT00366,86,63,42,1,0,67,48,100,73,76,Advanced
AGT00367,35,13,27,0,0,53,38,55,65,62,Competent
AGT00368,7,0,0,0,0,49,44,66,30,78,Basic
AGT00369,18,8,0,0,0,64,59,53,71,40,Needs Improvement
AGT00370,61,43,50,2,1,71,76,87,72,66,Competent
AGT00371,10,0,10,1,1,56,52,52,70,79,Basic
AGT00372,52,28,52,1,0,52,64,79,65,70,Competent
AGT00373,45,14,19,1,1,84,62,65,69,78,Basic
AGT00374,76,62,38,2,1,76,60,74,75,78,Advanced
AGT00375,35,31,10,2,1,56,64,63,72,80,Basic
AGT00376,33,11,33,3,0,97,81,72,70,100,Advanced
AGT00377,35,0,0,1,1,55,71,56,64,61,Basic
AGT00378,0,0,0,0,0,32,33,63,16,20,Needs Improvement
AGT00379,63,37,42,3,1,76,77,82,70,69,Advanced
AGT00380,19,0,2,1,1,61,54,40,35,81,Competent
AGT00381,27,27,7,2,0,56,76,76,72,44,Competent
AGT00382,70,46,28,5,0,69,76,61,81,80,Competent
AGT00383,0,0,0,2,0,51,62,56,47,14,Basic
AGT00384,0,0,0,1,1,44,39,57,63,32,Competent
AGT00385,10,0,0,1,1,40,48,55,38,55,Basic
AGT00386,3,0,3,1,0,58,50,78,57,53,Basic
AGT00387,10,5,10,1,1,62,55,54,64,59,Basic
AGT00388,53,35,7,3,0,65,69,74,66,55,Competent
AGT00389,56,7,17,0,0,68,89,80,77,39,Advanced
AGT00390,1,1,0,0,0,30,41,40,69,55,Needs Improvement
AGT00391,0,0,0,1,0,34,40,31,30,35,Needs Improvement
AGT00392,44,34,0,1,0,56,50,58,73,41,Advanced
AGT00393,0,0,0,1,0,64,43,61,57,55,Basic
AGT00394,45,12,21,1,0,73,60,47,68,72,Basic
AGT00395,28,5,28,0,0,75,67,74,69,66,Advanced
AGT00396,12,9,3,1,0,49,62,44,56,62,Competent
AGT00397,37,24,35,4,0,71,70,85,25,70,Advanced
AGT00398,31,10,0,0,0,54,48,70,80,53,Competent
AGT00399,29,5,3,1,1,69,63,91,56,65,Competent
AGT00400,27,0,13,1,0,32,64,63,48,63,Basic
AGT00401,18,5,18,2,1,46,47,55,54,72,Basic
AGT00402,52,18,10,2,1,75,63,52,53,71,Basic
AGT00403,51,21,27,0,0,76,77,71,72,61,Advanced
AGT00404,10,10,0,0,0,54,52,57,55,63,Needs Improvement
AGT00405,25,15,12,0,0,61,74,81,56,70,Competent
AGT00406,0,0,0,1,0,49,44,47,57,48,Basic
AGT00407,33,6,6,0,0,62,74,86,57,53,Competent
AGT00408,40,28,20,4,0,70,78,85,81,77,Competent
AGT00409,0,0,0,0,0,50,46,40,22,58,Needs Improvement
AGT00410,0,0,0,0,0,43,66,73,35,26,Basic
AGT00411,0,0,0,0,0,43,46,37,52,65,Basic
AGT00412,12,0,0,0,0,19,34,43,27,52,Needs Improvement
AGT00413,0,0,0,4,1,50,75,38,40,55,Basic
AGT00414,19,6,10,3,1,73,95,92,59,64,Basic
AGT00415,44,14,0,1,0,55,54,37,56,61,Advanced
AGT00416,58,16,12,1,1,60,66,44,61,54,Competent
AGT00417,38,38,38,1,1,79,88,63,71,70,Advanced
AGT00418,45,36,27,1,0,93,77,90,63,56,Competent
AGT00419,40,21,37,0,0,62,71,73,69,41,Basic
AGT00420,15,15,15,2,1,90,88,75,89,100,Advanced
AGT00421,0,0,0,0,0,69,59,75,36,61,Basic
AGT00422,8,4,3,2,0,61,62,52,31,54,Competent
AGT00423,46,0,0,0,0,49,59,61,64,53,Needs Improvement
AGT00424,0,0,0,2,1,41,36,69,62,36,Competent
AGT00425,14,0,0,0,0,49,44,50,24,47,Basic
AGT00426,43,23,31,0,0,62,54,48,67,60,Competent
AGT00427,84,45,51,0,0,80,84,74,91,69,Advanced
AGT00428,54,23,22,4,1,85,94,86,68,68,Advanced
AGT00429,2,0,2,1,1,52,60,50,63,53,Needs Improvement
AGT00430,71,16,27,2,1,62,74,78,62,67,Advanced
AGT00431,0,0,0,4,1,56,60,49,51,54,Basic
AGT00432,58,9,29,0,0,77,73,67,55,75,Competent
AGT00433,9,9,0,3,0,66,69,65,70,56,Basic
AGT00434,0,0,0,0,0,39,52,48,50,40,Basic
AGT00435,44,44,29,4,0,80,57,90,93,88,Advanced
AGT00436,1,1,0,1,1,46,49,60,69,42,Basic
AGT00437,2,0,2,0,0,57,47,52,53,32,Basic
AGT00438,14,5,9,1,1,51,68,58,85,57,Needs Improvement
AGT00439,35,0,17,1,0,42,78,68,68,47,Competent
AGT00440,36,8,35,2,0,72,43,75,70,53,Competent
AGT00441,27,13,16,1,1,48,82,69,46,70,Basic
AGT00442,47,0,23,2,0,62,69,44,43,63,Advanced
AGT00443,20,12,20,2,1,67,81,32,46,49,Competent
AGT00444,70,30,37,2,1,73,84,89,64,98,Advanced
AGT00445,38,14,12,2,1,58,79,64,73,38,Advanced
AGT00446,47,0,25,2,1,43,53,47,49,47,Competent
AGT00447,45,35,45,2,1,68,59,80,66,50,Competent
AGT00448,15,3,3,3,1,63,60,83,53,60,Basic
AGT00449,66,56,30,0,0,70,82,89,73,64,Competent
